seq,pos_x,pos_y,pos_z,image_rel
0,0.000000,29.992150,20.141160,images/downcam_000000.png
1,0.000000,29.842240,22.727050,images/downcam_000001.png
2,0.000000,29.835220,25.743460,images/downcam_000002.png
3,0.000000,29.855130,28.755620,images/downcam_000003.png
4,0.000000,29.852240,31.826510,images/downcam_000004.png
5,0.000000,29.846880,34.891190,images/downcam_000005.png
6,0.000000,29.848010,37.894910,images/downcam_000006.png
7,0.000000,29.849520,40.928460,images/downcam_000007.png
8,0.000000,29.849140,43.968980,images/downcam_000008.png
9,0.000000,29.848710,47.004350,images/downcam_000009.png
10,0.000000,29.848840,50.006180,images/downcam_000010.png
11,0.000000,29.848960,53.057620,images/downcam_000011.png
12,0.000000,29.848910,56.069370,images/downcam_000012.png
13,0.000000,29.848890,59.112080,images/downcam_000013.png
14,0.000000,29.848890,62.154510,images/downcam_000014.png
15,0.000000,29.848900,65.174680,images/downcam_000015.png
16,0.000000,29.848900,68.203770,images/downcam_000016.png
17,0.000000,29.848890,71.210820,images/downcam_000017.png
18,0.000000,29.848890,74.264430,images/downcam_000018.png
19,0.000000,29.848890,77.325670,images/downcam_000019.png
20,0.000000,29.848890,80.373120,images/downcam_000020.png
21,0.000000,29.848890,83.384560,images/downcam_000021.png
22,0.000000,29.848900,86.405940,images/downcam_000022.png
23,0.000000,29.848890,89.441670,images/downcam_000023.png
24,0.000000,29.848890,92.444760,images/downcam_000024.png
25,0.000000,29.848890,95.477170,images/downcam_000025.png
26,0.000000,29.848890,98.497990,images/downcam_000026.png
27,0.000000,29.848890,101.522600,images/downcam_000027.png
28,0.000000,29.848890,104.546800,images/downcam_000028.png
29,0.000000,29.848890,107.594200,images/downcam_000029.png
30,0.000000,29.848890,110.621400,images/downcam_000030.png
31,0.000000,29.848890,113.649900,images/downcam_000031.png
32,0.000000,29.848890,116.693800,images/downcam_000032.png
33,0.000000,29.848890,119.701900,images/downcam_000033.png
34,0.000000,29.848890,122.762500,images/downcam_000034.png
35,0.000000,29.848890,125.771500,images/downcam_000035.png
36,0.000000,29.848890,128.810000,images/downcam_000036.png
37,0.000000,29.859170,131.821700,images/downcam_000037.png
38,0.000000,29.679040,134.907400,images/downcam_000038.png
39,0.000000,29.341720,137.960100,images/downcam_000039.png
40,0.000000,29.084050,141.037400,images/downcam_000040.png
41,0.000000,28.943840,144.136600,images/downcam_000041.png
42,0.000000,28.896880,147.182600,images/downcam_000042.png
43,0.000000,28.906370,150.214200,images/downcam_000043.png
44,0.000000,28.946270,153.373500,images/downcam_000044.png
45,0.000000,28.997490,156.472800,images/downcam_000045.png
46,0.000000,29.054700,159.620300,images/downcam_000046.png
47,0.000000,29.113240,162.668800,images/downcam_000047.png
48,0.000000,29.174870,165.743000,images/downcam_000048.png
49,0.000000,29.239020,168.848800,images/downcam_000049.png
50,0.000000,29.301940,171.873900,images/downcam_000050.png
51,0.000000,29.364270,174.943000,images/downcam_000051.png
52,0.000000,29.423020,178.009500,images/downcam_000052.png
53,0.000000,29.476390,181.050800,images/downcam_000053.png
54,0.000000,29.524340,184.088300,images/downcam_000054.png
55,0.000000,29.567200,187.101900,images/downcam_000055.png
56,0.000000,29.606790,190.132500,images/downcam_000056.png
57,0.000000,29.644650,193.211200,images/downcam_000057.png
58,0.000947,29.680470,196.226300,images/downcam_000058.png
59,0.087000,29.745010,199.244700,images/downcam_000059.png
60,0.519583,29.863990,201.882600,images/downcam_000060.png
61,1.325892,29.964580,203.828300,images/downcam_000061.png
62,2.397125,29.980190,205.044300,images/downcam_000062.png
63,3.739278,29.923890,205.701800,images/downcam_000063.png
64,5.419255,29.830970,205.939200,images/downcam_000064.png
65,7.453263,29.709980,205.794400,images/downcam_000065.png
66,9.830302,29.563660,205.209800,images/downcam_000066.png
67,12.606980,29.419540,204.011600,images/downcam_000067.png
68,15.311590,29.369600,202.421600,images/downcam_000068.png
69,17.871690,29.446540,200.827800,images/downcam_000069.png
70,20.429900,29.613220,199.061200,images/downcam_000070.png
71,22.679690,29.701350,196.986000,images/downcam_000071.png
72,24.430890,29.673230,194.537000,images/downcam_000072.png
73,25.539930,29.583140,191.721500,images/downcam_000073.png
74,25.902210,29.473680,188.696000,images/downcam_000074.png
75,25.545350,29.361950,185.658700,images/downcam_000075.png
